2026-01-16 11:04:14 | DEBUG    | _api_request              | [POST:file_uploads:0] 开始请求: https://api.notion.com/v1/file_uploads
2026-01-16 11:04:14 | DEBUG    | _api_request              | [POST:file_uploads:0] 请求数据: {'filename': 'q.zip.txt', 'content_type': 'text/plain'}
2026-01-16 11:04:14 | DEBUG    | _api_request              | [POST:file_uploads:0] ✓ 成功 (HTTP 200, 0.39s)
2026-01-16 11:04:14 | DEBUG    | _upload_small_file        | [小文件上传] 会话ID: 2ea644ea-d11a-81f4-a324-00b2cbac3105
2026-01-16 11:04:14 | DEBUG    | _upload_small_file        | [小文件上传] 读取文件内容...
2026-01-16 11:04:14 | DEBUG    | _upload_small_file        | [小文件上传] 文件内容大小: 58861 bytes
2026-01-16 11:04:14 | DEBUG    | _upload_small_file        | [小文件上传] 发送文件数据 (尝试 1)...
2026-01-16 11:04:14 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-81f4-a324-00b2cbac3105/send:0] 开始请求: https://api.notion.com/v1/file_uploads/2ea644ea-d11a-81f4-a324-00b2cbac3105/send
2026-01-16 11:04:14 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-81f4-a324-00b2cbac3105/send:0] 上传文件: {'file': '<tuple, 58861 bytes>'}
2026-01-16 11:04:15 | DEBUG    | _api_request              | [POST:file_uploads/2ea644ea-d11a-81f4-a324-00b2cbac3105/send:0] ✓ 成功 (HTTP 200, 0.90s)
2026-01-16 11:04:15 | DEBUG    | _upload_small_file        | [小文件上传] 文件数据发送成功，耗时: 0.90s
2026-01-16 11:04:15 | DEBUG    | _upload_small_file        | [小文件上传] 附加文件到页面...
2026-01-16 11:04:15 | DEBUG    | _attach_file_to_page      | [附加文件] 文件: q.zip
2026-01-16 11:04:15 | DEBUG    | _attach_file_to_page      | [附加文件] Block类型: file
2026-01-16 11:04:15 | DEBUG    | _attach_file_to_page      | [附加文件] 上传ID: 2ea644ea-d11a-81f4-a324-00b2cbac3105
2026-01-16 11:04:15 | DEBUG    | _attach_file_to_page      | [附加文件] 目标页面: 2ea644ea-d11a-8174-8032-e6e818962e7b
2026-01-16 11:04:15 | DEBUG    | _api_request              | [PATCH:blocks/2ea644ea-d11a-8174-8032-e6e818962e7b/children:0] 开始请求: https://api.notion.com/v1/blocks/2ea644ea-d11a-8174-8032-e6e818962e7b/children
2026-01-16 11:04:15 | DEBUG    | _api_request              | [PATCH:blocks/2ea644ea-d11a-8174-8032-e6e818962e7b/children:0] 请求数据: {'children': [{'type': 'file', 'file': {'type': 'file_upload', 'file_upload': {'id': '2ea644ea-d11a-81f4-a324-00b2cbac3105'}, 'caption': [{'type': 'text', 'text': {'content': 'q.zip'}}], 'name': 'q.zip'}}]}
2026-01-16 11:04:21 | DEBUG    | _api_request              | [PATCH:blocks/2ea644ea-d11a-8174-8032-e6e818962e7b/children:0] ✓ 成功 (HTTP 200, 6.17s)
2026-01-16 11:04:21 | DEBUG    | _attach_file_to_page      | [附加文件] 成功
2026-01-16 11:04:21 | INFO     | report                    | [q.zip] 状态: completed, 进度: 58861/58861 (100.0%), 分片: 1/1, 重试: 0
2026-01-16 11:04:21 | DEBUG    | _upload_small_file        | [小文件上传] 完成: q.zip
2026-01-16 11:04:21 | INFO     | upload_file               | ✓ 上传成功: q.zip
2026-01-16 11:04:21 | INFO     | upload_file               |   耗时: 7.46秒
2026-01-16 11:04:21 | INFO     | upload_file               |   平均速度: 0.01 MB/s
2026-01-16 11:04:21 | INFO     | upload_file               | ============================================================
2026-01-16 11:04:42 | INFO     | set_page                  | 切换到页面: 2e4644ea-d11a-800d-bb89-fb9f02fc2e96
2026-01-16 11:04:42 | DEBUG    | _api_request              | [POST:pages:0] 开始请求: https://api.notion.com/v1/pages
